"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202301","3호선","잠원","1","0","1025","905","4139","6364","9520","4992","15151","7794","9578","6016","6703","4342","6801","4539","6889","5031","7137","6405","6619","6100","7027","6409","10511","6951","11054","9328","8352","12465","4635","9040","3229","5772","3107","6034","1901","6905","620","3501","104","1021","0","9","0","0","0","0","20230203"
"202301","3호선","종로3가","46","0","682","807","1051","5086","1489","13664","2374","42831","3240","39994","5376","31014","8023","25125","9802","23752","11013","21209","13707","20330","17704","18314","20973","16446","31788","15977","51510","15637","26875","8339","16338","4524","17285","3545","13668","2531","5887","1601","502","645","8","43","1","0","0","0","20230203"
"202301","3호선","지축","1","0","2511","571","8304","6357","23460","4760","22968","6051","12182","4151","8552","3643","7852","4167","8289","5282","8483","6133","7452","6376","7864","7575","10567","9727","9381","12330","6736","22299","4560","18063","3469","11141","2717","9979","2320","8721","1021","5103","208","967","1","10","0","0","0","0","20230203"
"202301","3호선","충무로","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","1","0","0","0","2","0","2","0","2","0","1","0","6","0","3","0","2","0","2","0","2","0","4","0","1","0","0","0","0","0","20230203"
"202301","3호선","학여울","4","0","467","227","1404","1484","3292","3100","4362","8228","2923","5013","2222","3619","2652","2515","3168","2787","3185","2805","3173","2753","4199","2768","4939","2705","5386","3498","6889","4127","2404","3306","1821","2223","1601","1935","909","1739","285","1074","50","342","0","3","0","0","0","0","20230203"
"202301","3호선","홍제","90","5","8545","1218","20746","5351","56643","9138","63738","20969","40668","15682","29137","15491","27458","15656","29735","17763","26305","20149","24639","22529","23447","27570","25393","31121","25227","38952","24219","58471","13339","48827","10389","28776","8514","26876","6084","22786","2288","14546","364","3494","1","36","0","0","0","0","20230203"
"202301","4호선","길음","20","2","8540","1721","29014","6610","78151","10126","77960","23885","44233","18116","31517","15573","27677","17060","29893","21509","29190","24536","26530","25032","26298","27625","29829","33138","31461","45978","27726","73334","15855","59871","12075","36658","9500","34163","9187","32547","2892","19517","444","5399","12","79","0","0","0","0","20230203"
"202301","4호선","남태령","63","4","444","68","850","1060","1794","3908","3083","5636","2400","1773","2042","1105","1960","1115","2145","1250","1835","1078","1817","1251","1721","1453","2669","1574","5192","1535","4001","1684","1472","1488","958","1423","703","1127","320","744","125","546","17","125","0","0","0","0","0","0","20230203"
"202301","4호선","노원","221","0","10413","594","20900","6694","45297","9703","48410","26033","29221","29502","23994","21848","23345","22809","27778","26801","26898","31713","26604","30079","28006","33608","30709","39158","32511","50256","32830","76649","23190","62211","24926","35310","24161","30696","22002","26330","11191","18203","2156","5961","38","724","0","0","0","0","20230203"
"202301","4호선","당고개","44","0","7121","33","13244","4042","35147","4462","32270","8935","20239","8673","14696","8220","14015","8316","14089","9349","14222","9964","13095","10653","11763","12667","12281","14641","12082","17553","10954","24323","6899","24375","4822","15249","4227","13829","2801","12694","1187","9149","267","3218","5","351","0","4","0","0","20230203"
